epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7593.16,0.81209,1.28761,0.53894,0.89818,0.82241,0.87345,0.86944,0.60261,0.7793,0.78508,0.80935,0.53241,1.02947,1.28833,0.63105,1.02382,0.000369054,0.000369054,0.000369054
62,7716.13,0.7961,1.25522,0.54725,0.9075,0.82305,0.89168,0.87707,0.60863,0.78843,0.78537,0.80675,0.52948,1.03161,1.25646,0.62718,1.03505,0.000360055,0.000360055,0.000360055
63,7838.55,0.79108,1.25443,0.53221,0.90495,0.80872,0.86267,0.85227,0.60074,0.78328,0.79022,0.80945,0.53431,1.03349,1.25207,0.62554,1.02866,0.000351056,0.000351056,0.000351056
64,7961.89,0.81126,1.26962,0.5335,0.90927,0.81937,0.89544,0.88681,0.60895,0.77657,0.79752,0.80849,0.53196,1.03648,1.27003,0.62461,1.02967,0.000342057,0.000342057,0.000342057
65,8087.25,0.82238,1.28097,0.53898,0.89421,0.81825,0.89901,0.88658,0.64179,0.7855,0.78333,0.80709,0.52834,0.88159,1.23758,0.59381,0.96432,0.000333058,0.000333058,0.000333058
66,8207.29,0.81593,1.29577,0.53658,0.90442,0.81338,0.85591,0.8444,0.58603,0.79297,0.7808,0.80721,0.52785,1.05974,1.29364,0.63331,1.04244,0.000324058,0.000324058,0.000324058
67,8328.74,0.83934,1.28135,0.55056,0.90639,0.78868,0.8853,0.85267,0.587,0.7923,0.7837,0.80564,0.52554,1.04101,1.30588,0.63972,1.0274,0.000315059,0.000315059,0.000315059
68,8447.98,0.78517,1.23631,0.53774,0.90127,0.80089,0.88347,0.85408,0.60815,0.75088,0.82677,0.80381,0.52437,0.94607,1.26445,0.62316,0.98678,0.00030606,0.00030606,0.00030606
69,8570.09,0.785,1.22127,0.51201,0.88846,0.81704,0.85233,0.86643,0.61286,0.75628,0.82796,0.80399,0.52351,0.96822,1.2578,0.61902,0.99718,0.000297061,0.000297061,0.000297061
70,8690.69,0.79386,1.23258,0.51896,0.88994,0.77557,0.86393,0.84279,0.60388,0.83849,0.79826,0.83422,0.52872,0.97423,1.24704,0.62992,1.01193,0.000288062,0.000288062,0.000288062
71,8813.41,0.80964,1.27326,0.52248,0.89183,0.75212,0.88426,0.84498,0.60264,0.78885,0.78514,0.80806,0.52853,0.97936,1.24938,0.62063,1.00729,0.000279063,0.000279063,0.000279063
72,8936.07,0.81303,1.28423,0.53358,0.89181,0.7896,0.82947,0.84146,0.60141,0.78442,0.78705,0.80599,0.53201,0.99049,1.2348,0.61674,1.00602,0.000270064,0.000270064,0.000270064
73,9054.79,0.7695,1.21065,0.49709,0.88714,0.80093,0.85707,0.85961,0.60449,0.78005,0.78635,0.80649,0.53376,0.99638,1.23172,0.61974,1.01554,0.000261065,0.000261065,0.000261065
74,9174.8,0.77773,1.21499,0.50161,0.88996,0.808,0.89273,0.87863,0.6226,0.78214,0.78314,0.81097,0.53217,0.98858,1.24211,0.62392,1.01455,0.000252066,0.000252066,0.000252066
75,9294.57,0.761,1.23642,0.49556,0.89385,0.8104,0.89458,0.88835,0.6367,0.78187,0.78644,0.80913,0.53543,0.92966,1.21533,0.61076,0.99066,0.000243067,0.000243067,0.000243067
76,9417.71,0.8176,1.28562,0.51601,0.89422,0.83865,0.8725,0.86817,0.63305,0.78251,0.79026,0.81222,0.53152,0.90615,1.20991,0.60976,0.98868,0.000234068,0.000234068,0.000234068
77,9538.28,0.77477,1.21031,0.49838,0.89277,0.85532,0.87562,0.86941,0.62577,0.7917,0.77936,0.81123,0.52963,0.93288,1.21773,0.61289,1.00391,0.000225068,0.000225068,0.000225068
78,9659.88,0.77963,1.19301,0.4976,0.89416,0.87236,0.8545,0.86553,0.62576,0.77461,0.81288,0.80709,0.52679,0.93281,1.219,0.60284,0.99505,0.000216069,0.000216069,0.000216069
79,9778.11,0.77315,1.21358,0.49314,0.89556,0.8986,0.88303,0.91741,0.62765,0.78393,0.77749,0.80297,0.52889,0.94469,1.20776,0.60577,0.99681,0.00020707,0.00020707,0.00020707
80,9898.95,0.7544,1.20956,0.48887,0.88876,0.89392,0.88666,0.91941,0.61688,0.77671,0.78535,0.81144,0.53404,0.99794,1.20074,0.62378,1.02356,0.000198071,0.000198071,0.000198071
81,10021.1,0.7388,1.17102,0.47777,0.89178,0.89576,0.88631,0.92768,0.61249,0.74127,0.83746,0.81518,0.53346,1.04404,1.21616,0.63061,1.05243,0.000189072,0.000189072,0.000189072
82,10145.2,0.76592,1.21815,0.4927,0.8856,0.84143,0.94702,0.91824,0.63892,0.77615,0.85974,0.81808,0.53456,0.96329,1.24216,0.60229,1.00714,0.000180073,0.000180073,0.000180073
83,10269.6,0.77356,1.23646,0.48205,0.88507,0.84759,0.92669,0.89247,0.62928,0.78315,0.85484,0.81376,0.53171,0.94628,1.2532,0.59366,0.99959,0.000171074,0.000171074,0.000171074
